TradeID,B/S,OrdQty,Exch,Contract,Price,Account,TIF,Type,Timestamp
T0143,B,66,ICE,RTY,1999.6,TRADER_C,GTC,Limit,2024-11-01 08:30:07.123
T0007,S,458,CME,ZBM5,141945.0,TRADER_B,Day,Market,2024-11-01 08:30:00.303
T0098,B,245,CME,ZBM5,142105.0,TRADER_C,Day,Stop,2024-11-01 08:30:04.850
T0061,B,281,CME,ESM5,4247.25,TRADER_A,Day,Limit,2024-11-01 08:30:03.023
T0113,S,144,CME,ZBM5,141949.0,TRADER_C,GTC,Market,2024-11-01 08:30:05.647
T0182,B,364,CME,ESM5,4253.75,TRADER_B,Day,Stop,2024-11-01 08:30:09.076
T0198,S,17,CME,ESM5,4248.25,TRADER_C,Day,Limit,2024-11-01 08:30:09.877
T0185,S,7,CME,ESM5,4250.0,TRADER_E,Day,Market,2024-11-01 08:30:09.233
T0010,S,122,CME,ESM5,4249.0,TRADER_E,Day,Limit,2024-11-01 08:30:00.460
T0105,S,181,ICE,RTY,1999.3,TRADER_E,Day,Limit,2024-11-01 08:30:05.215
T0201,B,259,ICE,RTY,2002.3,TRADER_A,GTC,Limit,2024-11-01 08:30:10.002
T0217,S,304,CME,CL,75.05,TRADER_B,GTC,Limit,2024-11-01 08:30:10.822
T0237,B,244,CME,ESM5,4253.0,TRADER_B,GTC,Limit,2024-11-01 08:30:11.815
T0241,S,394,CME,ESM5,4246.75,TRADER_A,Day,Limit,2024-11-01 08:30:12.037
T0068,B,393,ICE,RTY,2001.7,TRADER_C,Day,Stop,2024-11-01 08:30:03.359
T0225,S,317,CME,CL,75.03,TRADER_E,Day,Limit,2024-11-01 08:30:11.200
T0195,S,328,CME,ZBM5,141999.0,TRADER_E,Day,Market,2024-11-01 08:30:09.701
T0016,S,391,CME,ZBM5,142038.0,TRADER_A,IOC,Limit,2024-11-01 08:30:00.767
T0178,B,73,CME,NQM5,16500.5,TRADER_C,Day,Market,2024-11-01 08:30:08.886
T0025,B,255,CME,ESM5,4245.25,TRADER_E,Day,Limit,2024-11-01 08:30:01.233
T0248,S,209,CME,NQM5,16499.0,TRADER_C,GTC,Market,2024-11-01 08:30:12.376
T0020,B,228,CME,ESM5,4253.75,TRADER_E,IOC,Limit,2024-11-01 08:30:00.982
T0115,S,238,CME,GC,1950.4,TRADER_E,Day,Market,2024-11-01 08:30:05.741
T0069,B,74,CME,NQM5,16497.0,TRADER_D,GTC,Limit,2024-11-01 08:30:03.421
T0177,B,401,CME,ESM5,4252.75,TRADER_B,Day,Limit,2024-11-01 08:30:08.826
T0046,S,5,CME,GC,1950.1,TRADER_A,Day,Stop,2024-11-01 08:30:02.288
T0056,S,498,CME,ESM5,4248.5,TRADER_A,IOC,Market,2024-11-01 08:30:02.761
T0011,S,260,CME,GC,1950.5,TRADER_A,IOC,Market,2024-11-01 08:30:00.500
T0031,B,235,CME,ZBM5,141998.0,TRADER_A,IOC,Limit,2024-11-01 08:30:01.500
T0121,B,79,CME,NQM5,16491.5,TRADER_A,IOC,Stop,2024-11-01 08:30:06.028
T0202,B,466,CME,ESM5,4248.75,TRADER_B,IOC,Limit,2024-11-01 08:30:10.080
T0034,B,102,ICE,RTY,1999.0,TRADER_D,Day,Market,2024-11-01 08:30:01.679
T0142,B,396,CME,CL,74.98,TRADER_B,Day,Limit,2024-11-01 08:30:07.071
T0220,B,395,CME,ESM5,4252.0,TRADER_E,GTC,Limit,2024-11-01 08:30:10.955
T0026,S,185,CME,ZBM5,142083.0,TRADER_A,Day,Limit,2024-11-01 08:30:01.284
T0112,S,287,CME,ESM5,4249.0,TRADER_B,IOC,Limit,2024-11-01 08:30:05.560
T0019,S,168,CME,GC,1951.0,TRADER_D,Day,Limit,2024-11-01 08:30:00.928
T0197,S,415,CME,GC,1951.4,TRADER_B,IOC,Limit,2024-11-01 08:30:09.840
T0181,S,279,CME,CL,75.03,TRADER_A,GTC,Limit,2024-11-01 08:30:09.039
T0160,B,295,CME,ESM5,4245.25,TRADER_E,Day,Limit,2024-11-01 08:30:07.995
T0119,S,41,ICE,RTY,2000.0,TRADER_D,IOC,Market,2024-11-01 08:30:05.932
T0097,S,351,CME,NQM5,16500.5,TRADER_B,GTC,Stop,2024-11-01 08:30:04.811
T0109,S,117,CME,ESM5,4249.5,TRADER_D,Day,Limit,2024-11-01 08:30:05.401
T0186,B,139,CME,CL,75.08,TRADER_A,Day,Limit,2024-11-01 08:30:09.260
T0223,B,485,CME,ESM5,4252.75,TRADER_C,IOC,Limit,2024-11-01 08:30:11.142
T0017,B,383,CME,ESM5,4250.75,TRADER_B,IOC,Limit,2024-11-01 08:30:00.833
T0147,S,37,CME,NQM5,16487.0,TRADER_B,IOC,Limit,2024-11-01 08:30:07.331
T0070,B,224,CME,ZBM5,141916.0,TRADER_E,IOC,Limit,2024-11-01 08:30:03.493
T0174,B,164,CME,ESM5,4251.25,TRADER_D,Day,Limit,2024-11-01 08:30:08.679
T0039,B,310,CME,GC,1949.1,TRADER_D,Day,Limit,2024-11-01 08:30:01.920
T0133,B,295,CME,ESM5,4251.25,TRADER_C,Day,Limit,2024-11-01 08:30:06.632
T0226,B,150,CME,GC,1949.5,TRADER_A,IOC,Market,2024-11-01 08:30:11.259
T0239,B,210,CME,ZBM5,141995.0,TRADER_D,GTC,Limit,2024-11-01 08:30:11.931
T0120,B,453,ICE,RTY,2000.0,TRADER_E,GTC,Limit,2024-11-01 08:30:05.971
T0137,B,123,CME,ZBM5,142050.0,TRADER_B,IOC,Limit,2024-11-01 08:30:06.822
T0067,S,378,CME,ESM5,4252.5,TRADER_B,IOC,Limit,2024-11-01 08:30:03.310
T0218,B,448,CME,ESM5,4246.5,TRADER_C,IOC,Limit,2024-11-01 08:30:10.888
T0155,B,33,CME,ESM5,4247.5,TRADER_E,GTC,Limit,2024-11-01 08:30:07.742
T0169,B,423,CME,ESM5,4255.0,TRADER_D,Day,Limit,2024-11-01 08:30:08.437
T0230,B,259,CME,CL,75.01,TRADER_E,Day,Limit,2024-11-01 08:30:11.450
T0234,B,199,CME,ZBM5,142059.0,TRADER_D,Day,Limit,2024-11-01 08:30:11.669
T0157,S,27,CME,CL,75.05,TRADER_B,GTC,Market,2024-11-01 08:30:07.839
T0118,S,479,CME,ZBM5,141963.0,TRADER_C,Day,Limit,2024-11-01 08:30:05.885
T0085,B,320,CME,ESM5,4251.75,TRADER_E,Day,Limit,2024-11-01 08:30:04.210
T0126,S,190,CME,CL,74.96,TRADER_A,IOC,Limit,2024-11-01 08:30:06.269
T0168,B,169,CME,ESM5,4252.25,TRADER_C,GTC,Limit,2024-11-01 08:30:08.362
T0246,S,439,CME,GC,1949.3,TRADER_A,IOC,Limit,2024-11-01 08:30:12.286
T0110,S,423,CME,NQM5,16498.0,TRADER_E,IOC,Market,2024-11-01 08:30:05.457
T0173,S,147,ICE,RTY,2001.2,TRADER_C,Day,Stop,2024-11-01 08:30:08.631
T0235,B,147,CME,NQM5,16503.5,TRADER_E,IOC,Market,2024-11-01 08:30:11.705
T0074,B,241,CME,ESM5,4248.25,TRADER_D,Day,Market,2024-11-01 08:30:03.673
T0159,S,294,CME,ZBM5,142006.0,TRADER_D,Day,Market,2024-11-01 08:30:07.949
T0116,S,66,CME,ZBM5,142033.0,TRADER_A,Day,Limit,2024-11-01 08:30:05.785
T0076,B,325,CME,ESM5,4251.5,TRADER_A,Day,Limit,2024-11-01 08:30:03.773
T0238,B,391,ICE,RTY,1999.6,TRADER_C,Day,Limit,2024-11-01 08:30:11.872
T0083,B,112,CME,ESM5,4247.5,TRADER_C,Day,Limit,2024-11-01 08:30:04.141
T0030,S,255,CME,ESM5,4250.25,TRADER_E,GTC,Market,2024-11-01 08:30:01.497
T0127,S,74,CME,GC,1951.3,TRADER_B,Day,Market,2024-11-01 08:30:06.310
T0080,B,498,CME,ESM5,4248.5,TRADER_E,Day,Market,2024-11-01 08:30:03.959
T0087,B,98,CME,ESM5,4247.75,TRADER_B,IOC,Limit,2024-11-01 08:30:04.303
T0006,S,159,CME,ZBM5,141987.0,TRADER_A,IOC,Limit,2024-11-01 08:30:00.295
T0057,B,373,CME,CL,74.99,TRADER_B,IOC,Market,2024-11-01 08:30:02.814
T0187,B,62,CME,ESM5,4248.75,TRADER_B,GTC,Limit,2024-11-01 08:30:09.330
T0232,B,11,ICE,RTY,1998.3,TRADER_B,IOC,Limit,2024-11-01 08:30:11.566
T0171,S,434,CME,ESM5,4250.0,TRADER_A,IOC,Limit,2024-11-01 08:30:08.511
T0066,B,145,CME,NQM5,16506.0,TRADER_A,GTC,Limit,2024-11-01 08:30:03.298
T0141,B,279,CME,ZBM5,142019.0,TRADER_A,GTC,Limit,2024-11-01 08:30:07.019
T0125,S,290,CME,GC,1950.8,TRADER_E,Day,Market,2024-11-01 08:30:06.233
T0214,S,54,CME,GC,1951.2,TRADER_D,Day,Market,2024-11-01 08:30:10.672
T0149,S,80,CME,NQM5,16502.5,TRADER_D,GTC,Market,2024-11-01 08:30:07.443
T0032,S,176,CME,ESM5,4251.75,TRADER_B,Day,Market,2024-11-01 08:30:01.577
T0013,B,468,CME,GC,1949.6,TRADER_C,Day,Market,2024-11-01 08:30:00.634
T0036,S,411,CME,NQM5,16494.0,TRADER_A,GTC,Market,2024-11-01 08:30:01.760
T0029,B,477,CME,NQM5,16500.5,TRADER_D,Day,Limit,2024-11-01 08:30:01.423
T0043,S,208,CME,NQM5,16492.0,TRADER_C,Day,Limit,2024-11-01 08:30:02.102
T0219,B,238,CME,NQM5,16494.5,TRADER_D,GTC,Limit,2024-11-01 08:30:10.926
T0023,B,64,CME,ZBM5,142039.0,TRADER_C,Day,Limit,2024-11-01 08:30:01.110
T0094,B,44,CME,GC,1950.7,TRADER_D,Day,Market,2024-11-01 08:30:04.685
T0213,B,363,ICE,RTY,2001.7,TRADER_C,Day,Limit,2024-11-01 08:30:10.612
T0102,B,319,CME,ESM5,4252.5,TRADER_B,IOC,Market,2024-11-01 08:30:05.069
T0052,S,156,ICE,RTY,1999.0,TRADER_B,Day,Market,2024-11-01 08:30:02.595
T0096,B,396,CME,ESM5,4249.75,TRADER_A,IOC,Market,2024-11-01 08:30:04.757
T0144,B,409,CME,ESM5,4251.0,TRADER_D,Day,Market,2024-11-01 08:30:07.163
T0200,B,205,CME,NQM5,16501.0,TRADER_E,Day,Limit,2024-11-01 08:30:09.953
T0077,B,314,CME,ZBM5,142022.0,TRADER_B,GTC,Market,2024-11-01 08:30:03.846
T0042,B,281,CME,ZBM5,142060.0,TRADER_B,IOC,Limit,2024-11-01 08:30:02.070
T0114,B,143,CME,ZBM5,142061.0,TRADER_D,Day,Market,2024-11-01 08:30:05.655
T0153,S,275,CME,NQM5,16493.5,TRADER_C,IOC,Limit,2024-11-01 08:30:07.611
T0079,B,220,CME,CL,75.0,TRADER_D,GTC,Limit,2024-11-01 08:30:03.903
T0148,B,339,ICE,RTY,1999.4,TRADER_C,Day,Limit,2024-11-01 08:30:07.393
T0027,S,130,CME,ZBM5,142040.0,TRADER_B,Day,Limit,2024-11-01 08:30:01.341
T0242,S,312,CME,ZBM5,141969.0,TRADER_B,Day,Limit,2024-11-01 08:30:12.063
T0165,S,27,CME,GC,1949.1,TRADER_E,Day,Limit,2024-11-01 08:30:08.224
T0244,B,384,ICE,RTY,2000.5,TRADER_D,Day,Limit,2024-11-01 08:30:12.158
T0138,B,120,CME,NQM5,16500.5,TRADER_C,Day,Limit,2024-11-01 08:30:06.877
T0001,B,225,CME,ESM5,4251.25,TRADER_A,GTC,Market,2024-11-01 08:30:00.030
T0003,S,123,CME,ZBM5,142015.0,TRADER_C,GTC,Market,2024-11-01 08:30:00.138
T0078,S,28,ICE,RTY,1999.5,TRADER_C,GTC,Limit,2024-11-01 08:30:03.865
T0047,B,201,CME,ESM5,4245.25,TRADER_B,Day,Limit,2024-11-01 08:30:02.306
T0101,S,57,CME,ESM5,4252.0,TRADER_A,Day,Market,2024-11-01 08:30:05.018
T0128,S,161,CME,ZBM5,141993.0,TRADER_C,GTC,Market,2024-11-01 08:30:06.376
T0151,B,21,ICE,RTY,1999.0,TRADER_A,Day,Market,2024-11-01 08:30:07.522
T0249,B,318,CME,NQM5,16501.5,TRADER_D,Day,Limit,2024-11-01 08:30:12.403
T0091,B,52,CME,GC,1949.5,TRADER_A,GTC,Market,2024-11-01 08:30:04.515
T0086,S,319,CME,ZBM5,141966.0,TRADER_A,Day,Limit,2024-11-01 08:30:04.281
T0176,B,130,CME,ESM5,4252.0,TRADER_A,GTC,Limit,2024-11-01 08:30:08.763
T0196,S,419,CME,CL,74.83,TRADER_A,GTC,Limit,2024-11-01 08:30:09.791
T0099,B,88,CME,GC,1948.9,TRADER_D,Day,Market,2024-11-01 08:30:04.945
T0037,B,426,CME,ESM5,4247.25,TRADER_B,Day,Limit,2024-11-01 08:30:01.800
T0062,B,141,CME,ESM5,4251.5,TRADER_B,Day,Limit,2024-11-01 08:30:03.097
T0163,B,315,CME,ZBM5,141961.0,TRADER_C,Day,Market,2024-11-01 08:30:08.103
