TradeID,B/S,OrdQty,Exch,Contract,Price,Account,TIF,Type,Timestamp
T0064,B,405,CME,ESM5,4255.47,TRADER_D,Day,Limit,2024-11-01 08:30:04.164
T0145,S,495,CME,ZBM5,141953.78,TRADER_E,IOC,Stop,2024-11-01 08:30:09.206
T0111,B,30,CME,NQM5,16510.78,TRADER_A,Day,Limit,2024-11-01 08:30:06.547
T0005,S,260,CME,ZBM5,141962.31,TRADER_E,Day,Market,2024-11-01 08:30:02.216
T0098,B,245,CME,ZBM5,142138.99,TRADER_C,Day,Stop,2024-11-01 08:30:05.850
T0162,B,365,CME,ZBM5,141965.81,TRADER_B,IOC,Limit,2024-11-01 08:30:10.051
T0121,B,80,CME,NQM5,16495.41,TRADER_A,IOC,Stop,2024-11-01 08:30:08.028
T0048,B,50,CME,ZBM5,141975.59,TRADER_C,IOC,Limit,2024-11-01 08:30:03.391
T0240,B,280,CME,ZBM5,141933.78,TRADER_E,GTC,Market,2024-11-01 08:30:12.951
T0154,S,455,CME,ESM5,4251.92,TRADER_D,IOC,Limit,2024-11-01 08:30:09.685
T0250,B,145,CME,NQM5,16496.63,TRADER_E,Day,Market,2024-11-01 08:30:14.468
T0104,B,55,CME,GC,1949.52,TRADER_D,IOC,Market,2024-11-01 08:30:06.177
T0182,B,365,CME,ESM5,4252.51,TRADER_B,Day,Stop,2024-11-01 08:30:11.076
T0188,S,375,CME,ESM5,4249.8,TRADER_C,Day,Limit,2024-11-01 08:30:10.386
T0187,B,60,CME,ESM5,4247.9,TRADER_B,GTC,Limit,2024-11-01 08:30:10.330
T0106,B,485,ICE,RTY,2000.89,TRADER_A,Day,Market,2024-11-01 08:30:07.287
T0248,S,210,CME,NQM5,16491.25,TRADER_C,GTC,Market,2024-11-01 08:30:13.376
T0043,S,210,CME,NQM5,16490.18,TRADER_C,Day,Limit,2024-11-01 08:30:04.102
T0084,B,320,CME,ESM5,4248.14,TRADER_D,Day,Limit,2024-11-01 08:30:06.191
